name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AO4),False,0.0238646449,0.0533629683,.7921511425475735,.3686994663937602,24.83358723617017,257.5197287840643,ATE,13238096.33524547,75127.639210861
(2026 AP4),False,0.0652161229,0.1458276841,1.124239052962608,.4087333058655274,6.178683108341952,435.3979982041317,APO,8385799.348917942,37084.038772153
(2026 AQ4),False,0.0459361905,0.1027164447,2.215392288328405,.6602306146933319,8.332919215103265,1204.410093118365,APO,9801963.11229663,68849.4147181034
(2026 AR4),False,0.0048882676,0.0109304987,2.612849423115109,.7157074390061527,6.713361691274972,1542.659224290416,APO,392871.472788932,65089.05044251
(2026 AT4),False,0.0116079352,0.0259561323,1.032796512628682,.02417703424768325,11.80380243876052,383.3721593927828,APO,21898747.647014264,25570.5224268173
(2026 AV4),False,0.0079681037,0.0178172215,1.631242394652323,.464366973958878,4.059734075694848,760.9851407641551,APO,2774779.081181962,39657.7285361431
(2026 AW4),False,0.02598693,0.058108542,2.144085364772335,.6453125414440535,1.734972626589571,1146.730953417988,APO,6268753.108823555,62886.5398344737
(2026 AX4),False,0.1213821922,0.2714188329,1.479433268480517,.4806504442921707,11.82609587442398,657.2665004952538,APO,,
(2026 AB5),False,0.1242667604,0.2778689236,2.590594329639815,.7240079705031284,10.79598772968198,1522.991721883314,APO,28882977.04332435,79495.8347956244
(2026 AC5),False,0.0353960644,0.0791480061,1.799737824940981,.608474971262874,4.336018299981887,881.8856854449461,APO,15430259.405813606,51447.3492077989
(2026 AD5),False,0.0266535448,0.059599138,1.773534258830877,.4034742564156059,8.443157696881718,862.6960308464736,AMO,13218287.812002603,23874.8903880173
(2026 AE5),False,0.1877392059,0.4197976265,2.543180160255701,.500882976045541,25.67823295318023,1481.371950990212,AMO,,
(2026 AF5),False,0.0924176618,0.2066521741,.8727018531984532,.2984557902363606,5.442691365836922,297.7811989472983,ATE,21215990.37342883,60262.7539819273
(2026 AG5),False,0.0074431192,0.0166433206,.8993754527571399,.2041316418187893,9.725792635482605,311.5372426505842,ATE,2306683.830402017,24991.7847923391
(2026 AH5),False,0.0134138973,0.0299943862,1.940090116059915,.6403147331795435,8.658241576924537,987.0321105638506,APO,3419986.541408047,63576.5032733717
(2026 AK5),False,0.1418910415,0.3172780143,2.647919980312598,.5125967170132745,11.47298604020814,1573.822362277877,AMO,226199660.84183088,15602.5440695334
